pidp,sclfsato,age_dv,fimnnet_dv,nchild_dv,hiqual_dv,hhsize,ever_married,log_income,sex_female,occ_2.0,occ_3.0
1224072087,3.0,52.0,3756.07006835938,1,2.0,3.0,1,8.231394695482406,1,False,False
1224073447,7.0,60.0,3004.86010742188,0,2.0,3.0,0,8.008319031446199,0,False,False
1224073455,6.0,29.0,2123.13989257813,1,2.0,3.0,0,7.661122242988701,1,True,False
1224075487,5.0,34.0,1564.0,1,4.0,2.0,1,7.355641102974253,1,False,True
1224079575,4.0,35.0,0.0,0,4.0,1.0,1,0.0,0,False,False
1224085007,5.0,53.0,3000.0,1,4.0,3.0,0,8.006700845440367,0,False,True
1224085011,6.0,51.0,1498.98999023438,1,4.0,3.0,0,7.313213713890955,1,True,False
1224088407,7.0,54.0,1191.67004394531,0,4.0,2.0,0,7.083949807100271,0,False,True
1224090447,4.0,56.0,0.0,0,2.0,2.0,0,0.0,1,False,False
1224092487,6.0,45.0,765.25,0,4.0,1.0,0,6.641508487250421,1,False,False
1224097935,4.0,35.0,1736.32995605469,0,2.0,2.0,0,7.4601047056307745,0,False,False
1224123767,6.0,58.0,2378.81005859375,0,1.0,3.0,0,7.774775956167197,0,False,False
1224123771,5.0,58.0,2161.15991210938,0,1.0,3.0,0,7.678862960361841,1,False,True
1224123775,6.0,29.0,2191.830078125,0,1.0,1.0,0,7.692948261660737,0,False,False
1224123779,6.0,27.0,2031.32995605469,0,1.0,2.0,0,7.61693817546435,1,True,False
1224125131,4.0,46.0,0.0,0,2.0,,0,0.0,1,False,False
1224129207,6.0,39.0,3457.080078125,2,3.0,5.0,0,8.148468823327624,1,False,False
1224133287,4.0,55.0,1422.93994140625,0,4.0,4.0,0,7.261182915103732,0,True,False
1224133291,6.0,53.0,1653.68994140625,0,3.0,4.0,0,7.411368923677274,1,False,True
1224135335,5.0,48.0,2216.669921875,0,1.0,1.0,1,7.704212338925549,0,False,False
1224137371,4.0,41.0,2124.0,2,3.0,4.0,0,7.661527081358517,0,False,False
1224139415,2.0,32.0,1816.66003417969,0,1.0,2.0,0,7.505305257349602,0,False,False
1224148927,3.0,49.0,140.0,1,3.0,4.0,0,4.948759890378168,0,False,False
1224148931,5.0,45.0,172.899993896484,1,3.0,4.0,0,5.158480386262387,1,False,False
1224158447,5.0,50.0,0.0,0,4.0,1.0,1,0.0,0,False,False
1224163899,6.0,32.0,2403.03002929688,0,1.0,1.0,1,7.7849017869651345,1,False,False
1224166607,6.0,49.0,2361.98999023438,2,1.0,4.0,0,7.767683041136624,0,False,False
1224166611,6.0,44.0,693.330017089844,2,3.0,4.0,0,6.542947376426647,1,False,True
1224174771,5.0,57.0,2780.0,1,1.0,4.0,0,7.930565854233965,0,False,True
1224176135,3.0,35.0,3487.14990234375,0,1.0,2.0,0,8.157126760694782,1,False,False
1224180891,6.0,56.0,0.829999983310699,0,3.0,2.0,0,0.6043159577334929,0,True,False
1224180895,6.0,30.0,2000.32995605469,0,3.0,2.0,0,7.6015672165695065,1,False,False
